"car_t1669_id_mercado","anio_corregido","mes_corregido","nt_prop","gm","tm","prnm","dnm","cvm","rm","cuvm","id_empresa","empresa","car_carg_ano","car_carg_periodo","carg_horar","fech_public"
"160","9999","99","4","280.0285","42.2462","8.7831","36.8917","36.7479","36.337","441.0344","2322","VATIA S.A. E.S.P.","2023","5","3","1900-01-01T00:00:00.000"
"160","9999","99","4","280.0285","48.5314","8.7831","36.8917","36.7479","36.337","447.3196","2322","VATIA S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"161","9999","99","1-0","280.0931","52.7499","67.7138","237.4949","27.5542","36.337","701.9429","2322","VATIA S.A. E.S.P.","2023","5","1","1900-01-01T00:00:00.000"
"161","9999","99","1-0","280.0931","48.5198","66.9849","237.4949","27.5542","36.337","696.9839","2322","VATIA S.A. E.S.P.","2023","5","2","1900-01-01T00:00:00.000"
"161","9999","99","1-0","280.0931","42.2462","65.9038","237.4949","27.5542","36.337","689.6292","2322","VATIA S.A. E.S.P.","2023","5","3","1900-01-01T00:00:00.000"
"161","9999","99","1-0","280.0931","48.5314","66.9869","237.4949","27.5542","36.337","696.9975","2322","VATIA S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"161","9999","99","1-100","280.0931","52.7499","67.7138","300.5938","27.5542","36.337","765.0418","2322","VATIA S.A. E.S.P.","2023","5","1","1900-01-01T00:00:00.000"
"161","9999","99","1-100","280.0931","48.5198","66.9849","300.5938","27.5542","36.337","760.0828","2322","VATIA S.A. E.S.P.","2023","5","2","1900-01-01T00:00:00.000"
"161","9999","99","1-100","280.0931","42.2462","65.9038","300.5938","27.5542","36.337","752.7281","2322","VATIA S.A. E.S.P.","2023","5","3","1900-01-01T00:00:00.000"
"161","9999","99","1-100","280.0931","48.5314","66.9869","300.5938","27.5542","36.337","760.0964","2322","VATIA S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"161","9999","99","1-50","280.0931","52.7499","67.7138","269.0443","27.5542","36.337","733.4923","2322","VATIA S.A. E.S.P.","2023","5","1","1900-01-01T00:00:00.000"
"161","9999","99","1-50","280.0931","48.5198","66.9849","269.0443","27.5542","36.337","728.5333","2322","VATIA S.A. E.S.P.","2023","5","2","1900-01-01T00:00:00.000"
"161","9999","99","1-50","280.0931","42.2462","65.9038","269.0443","27.5542","36.337","721.1786","2322","VATIA S.A. E.S.P.","2023","5","3","1900-01-01T00:00:00.000"
"161","9999","99","1-50","280.0931","48.5314","66.9869","269.0443","27.5542","36.337","728.5469","2322","VATIA S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"161","9999","99","2","280.0931","52.7499","21.912","189.5702","27.5542","36.337","608.2164","2322","VATIA S.A. E.S.P.","2023","5","1","1900-01-01T00:00:00.000"
"161","9999","99","2","280.0931","48.5198","21.7472","189.5702","27.5542","36.337","603.8215","2322","VATIA S.A. E.S.P.","2023","5","2","1900-01-01T00:00:00.000"
"161","9999","99","2","280.0931","42.2462","21.5029","189.5702","27.5542","36.337","597.3036","2322","VATIA S.A. E.S.P.","2023","5","3","1900-01-01T00:00:00.000"
"161","9999","99","2","280.0931","48.5314","21.7477","189.5702","27.5542","36.337","603.8336","2322","VATIA S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"161","9999","99","3","280.0931","52.7499","22.7528","86.8113","27.5542","36.337","506.2983","2322","VATIA S.A. E.S.P.","2023","5","1","1900-01-01T00:00:00.000"
"161","9999","99","3","280.0931","48.5198","22.5777","86.8113","27.5542","36.337","501.8931","2322","VATIA S.A. E.S.P.","2023","5","2","1900-01-01T00:00:00.000"
"161","9999","99","3","280.0931","42.2462","22.3179","86.8113","27.5542","36.337","495.3597","2322","VATIA S.A. E.S.P.","2023","5","3","1900-01-01T00:00:00.000"
"161","9999","99","3","280.0931","48.5314","22.5782","86.8113","27.5542","36.337","501.9052","2322","VATIA S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"161","9999","99","4","280.0931","52.7499","8.5694","36.8917","27.5542","36.337","442.1953","2322","VATIA S.A. E.S.P.","2023","5","1","1900-01-01T00:00:00.000"
"161","9999","99","4","280.0931","48.5198","8.5694","36.8917","27.5542","36.337","437.9652","2322","VATIA S.A. E.S.P.","2023","5","2","1900-01-01T00:00:00.000"
"161","9999","99","4","280.0931","42.2462","8.5694","36.8917","27.5542","36.337","431.6916","2322","VATIA S.A. E.S.P.","2023","5","3","1900-01-01T00:00:00.000"
"161","9999","99","4","280.0931","48.5314","8.5694","36.8917","27.5542","36.337","437.9768","2322","VATIA S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"162","9999","99","1-0","280.3131","52.7499","56.5998","218.9074","26.8439","36.337","671.7511","2322","VATIA S.A. E.S.P.","2023","5","1","1900-01-01T00:00:00.000"
"162","9999","99","1-0","280.3131","48.5198","56.0477","218.9074","26.8439","36.337","666.9689","2322","VATIA S.A. E.S.P.","2023","5","2","1900-01-01T00:00:00.000"
"162","9999","99","1-0","280.3131","42.2462","55.2289","218.9074","26.8439","36.337","659.8765","2322","VATIA S.A. E.S.P.","2023","5","3","1900-01-01T00:00:00.000"
